Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.045429,0.054889,0.095593,0,0,0,0.094902,0.00012807,2.9963E-06,5.5434E-08,0.00020833,-3.5541E-08,0.00013694,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/base_link.STL,0.89804,0.89804,0.89804,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotating_base,-0.00265513752240202,0.0439070304717675,-0.00163810310449318,0,0,0,0.164664278645424,0.000192934893661744,3.94985807904025E-06,-6.37293637933606E-06,0.0002637869414641,5.4877898774636E-06,0.000178091003514917,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rotating_base.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rotating_base.STL,,waist-1;Base-1,Origin_rotating_base_joint,Axis_rotating_base_joint,rotating_base_joint,continuous,0.045734556059298,-0.0957119472254739,0.0328388566655724,1.5707963267949,0,-2.24157638782666,base_link,0,1,0,,,,,,,,,,,,
shoulder_link,-0.00011655304476723,0.059531755589997,0.00818370933866206,0,0,0,0.0615776966085835,0.000108061606776966,-5.47589864057348E-07,-3.16156514047851E-08,8.77137120935881E-06,-1.30395112315003E-07,0.000111307819299411,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/shoulder_link.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/shoulder_link.STL,,ARM 1-2,Origin_shoulder_joint,Axis_shoulder_joint,shoulder_joint,revolute,0,0.096174,-0.019023,-1.5708,0.66404,-1.5708,rotating_base,0,0,1,0,0,-1.57,1.57,,,,,,,,
upper_arm_link,0.000148210411284044,-0.0391257744886412,0.012706496158802,0,0,0,0.0552618944262579,6.16536209264558E-05,1.31266064735437E-07,6.87590950899761E-10,1.08490484940516E-05,9.4381029500952E-07,6.50558645013087E-05,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/upper_arm_link.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/upper_arm_link.STL,,ARM 2-1,Origin_upper_arm_joint,Axis_upper_arm_joint,upper_arm_joint,continuous,0,0.12,0,-3.1416,0,-0.63995,shoulder_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
wrist,0.0050428084941137,0.0348537768187108,-0.00561737382787265,0,0,0,0.0176672181934851,4.13306304117669E-06,1.18005497141112E-08,-4.24865697137399E-09,2.81673212673579E-06,5.93910430694068E-07,5.23891190249641E-06,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/wrist.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/wrist.STL,,ARM 3-1,Origin_wrist_joint,Axis_wrist_joint,wrist_joint,revolute,0.0050952,-0.075597,0.01245,0,-0.15187,-3.1416,upper_arm_link,0,1,0,0,0,-1.57,1.57,,,,,,,,
gripper_base,-0.0162083972598865,0.0193738974399363,0.0372707133141356,0,0,0,0.0158298667906235,7.26375372702784E-06,-3.56350448701567E-07,-1.4585315029848E-06,8.19798152165884E-06,-1.36553593269571E-06,2.62840088242135E-06,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/gripper_base.STL,0,0.501960784313725,1,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/gripper_base.STL,,GRIPPER Assembly-1/GRIPPER Base-1,Origin_gripper_base_joint,Axis_gripper_base_joint,gripper_base_joint,revolute,0.005,0.025813,0,-1.4289,-1.5708,0.63879,wrist,1,0,0,0,0,-1.57,1.57,,,,,,,,
left_link,0.075762083238292,0.0330229366273033,0.0396935140342062,0,0,0,0.00079876241318469,3.6325042236301E-09,9.56427583264438E-23,1.79860084441999E-22,1.04424225659603E-07,3.30872245021211E-24,1.02921754537799E-07,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/left_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/left_link.STL,,GRIPPER Assembly-1/GRIPPER Link 1-1,Origin_left_link_joint,Axis_left_link_joint,left_link_joint,revolute,0,0,0,0,-1.1183,0,gripper_base,0.43723,0,-0.89935,0,0,-1.57,1.57,,,,,,,,
rigth_link,0.0825052557366555,0.0330229366273035,-0.0255499879386304,0,0,0,0.000798762413184692,3.63250422363009E-09,1.06499503866202E-23,8.51996030929619E-23,1.04424225659604E-07,-6.61744490042422E-24,1.029217545378E-07,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rigth_link.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rigth_link.STL,,GRIPPER Assembly-1/GRIPPER Link 1-3,Origin_rigth_link_joint,Axis_rigth_link_joint,rigth_link_joint,revolute,-0.014571,0,0,-3.1416,-1.1398,3.1416,gripper_base,0.41776,0,0.90856,0,0,-1.57,1.57,,,,,,,,
rigth_gear,0.0576240218428112,0.0330229366273039,-0.0111970781179506,0,0,0,0.00264148398252477,9.00367802355991E-08,-2.16721320488893E-22,-9.29043152687185E-09,4.47225191763972E-07,-1.91905902112302E-22,3.64232368815106E-07,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rigth_gear.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rigth_gear.STL,,GRIPPER Assembly-1/Gear 1-1,Origin_rigth_gear_joint,Axis_rigth_gear_joint,rigth_gear_joint,revolute,-0.014571,0,0,-3.1416,-1.127,3.1416,gripper_base,0.42935,0,0.90314,0,0,-1.57,1.57,,,,,,,,
rigth_finger,0.0879816014663583,0.0167729339678956,-0.0612799999474076,0,0,0,0.00523344727971716,1.75362770876506E-07,-5.59463150577428E-13,3.5879638457345E-07,1.64009009022022E-06,9.70878338833187E-14,1.52774702629514E-06,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rigth_finger.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/rigth_finger.STL,,GRIPPER Assembly-1/GRIPPER 1-2,Origin_rigth_finger_joint,Axis_rigth_finger_joint,rigth_finger_joint,revolute,0,0.01,0,0,0.033058,0,rigth_gear,0.39927,0,0.91684,0,0,-1.57,1.57,,,,,,,,
left_gear,0.0520338556873472,-0.033022936627304,-0.0230540919467272,0,0,0,0.00256568181371318,8.97164344804081E-08,-1.38966342908909E-22,-9.63286886340747E-09,4.46122880225481E-07,-5.29395592033938E-23,3.63248263914975E-07,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/left_gear.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/left_gear.STL,,GRIPPER Assembly-1/Gear 2-1,Origin_rigth_gear_joint2,Axis_rigth_gear_joint2,left_gear_joint,revolute,0,0,0,3.1416,-1.1251,0,gripper_base,0.43106,0,0.90232,0,0,-1.57,1.57,,,,,,,,
left_finger,0.0977551563149154,-0.0267729393591962,-0.0392903152394916,0,0,0,0.00523344700767097,1.75362790243889E-07,-4.25071365113047E-13,3.58796483285618E-07,1.64009047564128E-06,7.41349995060652E-14,1.52774739047111E-06,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/left_finger.STL,0.898039215686275,0.898039215686275,0.898039215686275,1,0,0,0,0,0,0,package://Robotic Arm.SLDASM/meshes/left_finger.STL,,GRIPPER Assembly-1/GRIPPER 1-1,Origin_left_finger_joint,Axis_left_finger_joint,left_finger_joint,revolute,-0.015076,0,-0.031558,0,0.061179,0,left_gear,0.37509,0,0.92699,0,0,-1.57,1.57,,,,,,,,
